Date,Goal,Funds
2025-05-01 17:01:00-05:00,7000,211
2025-05-01 18:01:00-05:00,7000,211
2025-05-01 19:01:00-05:00,7000,211
2025-05-01 20:01:00-05:00,7000,211
2025-05-01 21:01:00-05:00,7000,211
2025-05-01 22:01:00-05:00,7000,211
2025-05-01 23:01:00-05:00,7000,216
2025-05-02 00:01:00-05:00,7000,221
2025-05-02 01:01:00-05:00,7000,226
2025-05-02 02:01:00-05:00,7000,226
2025-05-02 03:01:00-05:00,7000,226
2025-05-02 04:01:00-05:00,7000,226
2025-05-02 05:01:00-05:00,7000,281
2025-05-02 06:01:00-05:00,7000,320
2025-05-02 07:01:00-05:00,7000,320
2025-05-02 08:01:00-05:00,7000,320
2025-05-02 09:01:00-05:00,7000,351
2025-05-02 10:01:00-05:00,7000,351
2025-05-02 11:01:00-05:00,7000,356
2025-05-02 12:01:00-05:00,7000,356
2025-05-02 13:01:00-05:00,7000,356
2025-05-02 14:01:00-05:00,7000,356
2025-05-02 15:01:00-05:00,7000,356
2025-05-02 16:01:00-05:00,7000,356
2025-05-02 17:01:00-05:00,7000,356
2025-05-02 18:01:00-05:00,7000,356
2025-05-02 19:01:00-05:00,7000,356
2025-05-02 20:01:00-05:00,7000,446
2025-05-02 21:01:00-05:00,7000,446
2025-05-02 22:01:00-05:00,7000,446
2025-05-02 23:01:00-05:00,7000,446
2025-05-03 00:01:00-05:00,7000,446
2025-05-03 01:01:00-05:00,7000,446
2025-05-03 02:01:00-05:00,7000,446
2025-05-03 03:01:00-05:00,7000,446
2025-05-03 04:01:00-05:00,7000,451
2025-05-03 05:01:00-05:00,7000,451
2025-05-03 06:01:00-05:00,7000,556
2025-05-03 07:01:00-05:00,7000,556
2025-05-03 08:01:00-05:00,7000,556
2025-05-03 09:01:00-05:00,7000,556
2025-05-03 10:01:00-05:00,7000,561
2025-05-03 11:01:00-05:00,7000,561
2025-05-03 12:01:00-05:00,7000,566
2025-05-03 13:01:00-05:00,7000,566
2025-05-03 14:01:00-05:00,7000,566
2025-05-03 15:01:00-05:00,7000,566
2025-05-03 16:01:00-05:00,7000,571
2025-05-03 17:01:00-05:00,7000,571
2025-05-03 18:01:00-05:00,7000,571
2025-05-03 19:01:00-05:00,7000,571
2025-05-03 20:01:00-05:00,7000,571
2025-05-03 21:01:00-05:00,7000,571
2025-05-03 22:01:00-05:00,7000,571
2025-05-03 23:01:00-05:00,7000,571
2025-05-04 00:01:00-05:00,7000,571
2025-05-04 01:01:00-05:00,7000,571
2025-05-04 02:01:00-05:00,7000,571
2025-05-04 03:01:00-05:00,7000,571
2025-05-04 04:01:00-05:00,7000,571
2025-05-04 05:01:00-05:00,7000,583
2025-05-04 06:01:00-05:00,7000,664
2025-05-04 07:01:00-05:00,7000,664
2025-05-04 08:01:00-05:00,7000,674
2025-05-04 09:01:00-05:00,7000,674
2025-05-04 10:01:00-05:00,7000,674
2025-05-04 11:01:00-05:00,7000,674
2025-05-04 12:01:00-05:00,7000,674
2025-05-04 13:01:00-05:00,7000,679
2025-05-04 14:01:00-05:00,7000,679
2025-05-04 15:01:00-05:00,7000,679
2025-05-04 16:01:00-05:00,7000,679
2025-05-04 17:01:00-05:00,7000,679
2025-05-04 18:01:00-05:00,7000,684
2025-05-04 19:01:00-05:00,7000,684
2025-05-04 20:01:00-05:00,7000,684
2025-05-04 21:01:00-05:00,7000,684
2025-05-04 22:01:00-05:00,7000,684
2025-05-04 23:01:00-05:00,7000,684
2025-05-05 00:01:00-05:00,7000,684
2025-05-05 01:01:00-05:00,7000,684
2025-05-05 02:01:00-05:00,7000,684
2025-05-05 03:01:00-05:00,7000,689
2025-05-05 04:01:00-05:00,7000,689
2025-05-05 05:01:00-05:00,7000,762
2025-05-05 06:01:00-05:00,7000,794
2025-05-05 07:01:00-05:00,7000,794
2025-05-05 08:01:00-05:00,7000,799
2025-05-05 09:01:00-05:00,7000,799
2025-05-05 10:01:00-05:00,7000,799
2025-05-05 11:01:00-05:00,7000,799
2025-05-05 12:01:00-05:00,7000,799
2025-05-05 13:01:00-05:00,7000,799
2025-05-05 14:01:00-05:00,7000,799
2025-05-05 15:01:00-05:00,7000,799
2025-05-05 16:01:00-05:00,7000,799
2025-05-05 17:01:00-05:00,7000,799
2025-05-05 18:01:00-05:00,7000,804
2025-05-05 19:01:00-05:00,7000,804
2025-05-05 20:01:00-05:00,7000,804
2025-05-05 21:01:00-05:00,7000,804
2025-05-05 22:01:00-05:00,7000,804
2025-05-05 23:01:00-05:00,7000,804
2025-05-06 00:01:00-05:00,7000,809
2025-05-06 01:01:00-05:00,7000,809
2025-05-06 02:01:00-05:00,7000,809
2025-05-06 03:01:00-05:00,7000,809
2025-05-06 04:01:00-05:00,7000,809
2025-05-06 05:01:00-05:00,7000,898
2025-05-06 06:01:00-05:00,7000,912
2025-05-06 07:01:00-05:00,7000,912
2025-05-06 08:01:00-05:00,7000,912
2025-05-06 09:01:00-05:00,7000,912
2025-05-06 11:01:00-05:00,7000,912
2025-05-06 12:01:00-05:00,7000,917
2025-05-06 13:01:00-05:00,7000,917
2025-05-06 14:01:00-05:00,7000,922
2025-05-06 15:01:00-05:00,7000,922
2025-05-06 16:01:00-05:00,7000,1022
2025-05-06 17:01:00-05:00,7000,1022
2025-05-06 18:01:00-05:00,7000,1022
2025-05-06 19:01:00-05:00,7000,1022
2025-05-06 20:01:00-05:00,7000,1022
2025-05-06 21:01:00-05:00,7000,1022
2025-05-06 22:01:00-05:00,7000,1022
2025-05-06 23:01:00-05:00,7000,1022
2025-05-07 00:01:00-05:00,7000,1027
2025-05-07 01:01:00-05:00,7000,1027
2025-05-07 02:01:00-05:00,7000,1027
2025-05-07 03:01:00-05:00,7000,1032
2025-05-07 04:01:00-05:00,7000,1032
2025-05-07 05:01:00-05:00,7000,1146
2025-05-07 06:01:00-05:00,7000,1146
2025-05-07 07:01:00-05:00,7000,1146
2025-05-07 08:01:00-05:00,7000,1146
2025-05-07 09:01:00-05:00,7000,1146
2025-05-07 10:01:00-05:00,7000,1146
2025-05-07 11:01:00-05:00,7000,1146
2025-05-07 12:01:00-05:00,7000,1146
2025-05-07 13:01:00-05:00,7000,1146
2025-05-07 14:01:00-05:00,7000,1146
2025-05-07 15:01:00-05:00,7000,1146
2025-05-07 16:01:00-05:00,7000,1146
2025-05-07 17:01:00-05:00,7000,1151
2025-05-07 18:01:00-05:00,7000,1151
2025-05-07 19:01:00-05:00,7000,1151
2025-05-07 20:01:00-05:00,7000,1151
2025-05-07 21:01:00-05:00,7000,1151
2025-05-07 22:01:00-05:00,7000,1151
2025-05-07 23:01:00-05:00,7000,1151
2025-05-08 00:01:00-05:00,7000,1151
2025-05-08 01:01:00-05:00,7000,1151
2025-05-08 02:01:00-05:00,7000,1151
2025-05-08 03:01:00-05:00,7000,1151
