Date,Goal,Funds
2022-08-01 00:01:00-05:00,4375,88.0
2022-08-01 21:01:00-05:00,4375,219.0
2022-08-02 21:01:00-05:00,4375,306.0
2022-08-03 21:01:00-05:00,4375,394.0
2022-08-04 21:01:00-05:00,4375,438.0
2022-08-05 21:01:00-05:00,4375,525.0
2022-08-06 21:01:00-05:00,4375,613.0
2022-08-07 21:01:00-05:00,4375,700.0
2022-08-08 21:01:00-05:00,4375,744.0
2022-08-09 21:01:00-05:00,4375,831.0
2022-08-10 21:01:00-05:00,4375,875.0
2022-08-11 21:01:00-05:00,4375,1006.0
2022-08-12 21:01:00-05:00,4375,1138.0
2022-08-13 21:01:00-05:00,4375,1225.0
2022-08-14 21:01:00-05:00,4375,1313.0
2022-08-15 21:01:00-05:00,4375,1313.0
2022-08-16 21:01:00-05:00,4375,1488.0
2022-08-17 21:01:00-05:00,4375,1531.0
2022-08-18 21:01:00-05:00,4375,1619.0
2022-08-19 21:01:00-05:00,4375,1750.0
2022-08-20 21:01:00-05:00,4375,1794.0
2022-08-21 21:01:00-05:00,4375,2231.0
2022-08-22 21:01:00-05:00,4375,2363.0
2022-08-23 21:01:00-05:00,4375,2581.0
2022-08-24 21:01:00-05:00,4375,3150.0
2022-08-25 21:01:00-05:00,4375,3456.0
2022-08-26 21:01:00-05:00,4375,3675.0
2022-08-27 21:01:00-05:00,4375,3894.0
2022-08-28 21:01:00-05:00,4375,4156.0
2022-08-29 21:01:00-05:00,4375,4331.0
2022-08-30 21:01:00-05:00,4375,4900.0
2022-08-31 21:01:00-05:00,4375,4970.0
