,Date,Goal,Funds
113,2025-10-06 15:01:00-05:00,7000,1670
114,2025-10-06 16:01:00-05:00,7000,1670
115,2025-10-06 17:01:00-05:00,7000,1675
116,2025-10-06 18:01:00-05:00,7000,1685
117,2025-10-06 19:01:00-05:00,7000,1685
118,2025-10-06 20:01:00-05:00,7000,1685
119,2025-10-06 21:01:00-05:00,7000,1690
120,2025-10-06 22:01:00-05:00,7000,1700
121,2025-10-06 23:01:00-05:00,7000,1705
122,2025-10-07 00:01:00-05:00,7000,1705
123,2025-10-07 01:01:00-05:00,7000,1705
124,2025-10-07 02:01:00-05:00,7000,1705
125,2025-10-07 03:01:00-05:00,7000,1705
126,2025-10-07 04:01:00-05:00,7000,1744
127,2025-10-07 05:01:00-05:00,7000,1750
128,2025-10-07 06:01:00-05:00,7000,1750
129,2025-10-07 07:01:00-05:00,7000,1750
130,2025-10-07 08:01:00-05:00,7000,1755
131,2025-10-07 09:01:00-05:00,7000,1755
132,2025-10-07 10:01:00-05:00,7000,1755
133,2025-10-07 11:01:00-05:00,7000,1765
134,2025-10-07 12:01:00-05:00,7000,1765
135,2025-10-07 13:01:00-05:00,7000,1765
136,2025-10-07 14:01:00-05:00,7000,1765
137,2025-10-07 15:01:00-05:00,7000,1765
138,2025-10-07 16:01:00-05:00,7000,1765
139,2025-10-07 17:01:00-05:00,7000,1775
140,2025-10-07 18:01:00-05:00,7000,1775
141,2025-10-07 19:01:00-05:00,7000,1775
142,2025-10-07 20:01:00-05:00,7000,1775
143,2025-10-07 21:01:00-05:00,7000,1775
144,2025-10-07 22:01:00-05:00,7000,1825
145,2025-10-07 23:01:00-05:00,7000,1830
146,2025-10-08 00:01:00-05:00,7000,1830
147,2025-10-08 01:01:00-05:00,7000,1835
148,2025-10-08 02:01:00-05:00,7000,1835
149,2025-10-08 03:01:00-05:00,7000,1835
150,2025-10-08 04:01:00-05:00,7000,1853
151,2025-10-08 05:01:00-05:00,7000,1853
152,2025-10-08 06:01:00-05:00,7000,1853
153,2025-10-08 07:01:00-05:00,7000,1853
154,2025-10-08 08:01:00-05:00,7000,1853
155,2025-10-08 09:01:00-05:00,7000,1853
156,2025-10-08 10:01:00-05:00,7000,1858
157,2025-10-08 11:01:00-05:00,7000,1858
158,2025-10-08 12:01:00-05:00,7000,1858
159,2025-10-08 13:01:00-05:00,7000,1863
160,2025-10-08 14:01:00-05:00,7000,1868
161,2025-10-08 15:01:00-05:00,7000,1868
162,2025-10-08 16:01:00-05:00,7000,1868
163,2025-10-08 17:01:00-05:00,7000,1868
164,2025-10-08 18:01:00-05:00,7000,1868
165,2025-10-08 19:01:00-05:00,7000,1868
166,2025-10-08 20:01:00-05:00,7000,1878
167,2025-10-08 21:01:00-05:00,7000,1878
168,2025-10-08 22:01:00-05:00,7000,1878
169,2025-10-08 23:01:00-05:00,7000,1883
170,2025-10-09 00:01:00-05:00,7000,1883
171,2025-10-09 01:01:00-05:00,7000,1883
172,2025-10-09 02:01:00-05:00,7000,1883
173,2025-10-09 03:01:00-05:00,7000,1883
174,2025-10-09 04:01:00-05:00,7000,1901
175,2025-10-09 05:01:00-05:00,7000,1936
176,2025-10-09 06:01:00-05:00,7000,1936
177,2025-10-09 07:01:00-05:00,7000,1936
178,2025-10-09 08:01:00-05:00,7000,1936
179,2025-10-09 09:01:00-05:00,7000,2006
180,2025-10-09 10:01:00-05:00,7000,2006
181,2025-10-09 11:01:00-05:00,7000,2006
182,2025-10-09 12:01:00-05:00,7000,2006
183,2025-10-09 13:01:00-05:00,7000,2006
184,2025-10-09 14:01:00-05:00,7000,2006
185,2025-10-09 15:01:00-05:00,7000,2006
186,2025-10-09 16:01:00-05:00,7000,2006
187,2025-10-09 17:01:00-05:00,7000,2006
