Date,Goal,Funds
2025-11-01 00:01:02-0600,7000,45
2025-11-01 01:01:01-0600,7000,45
2025-11-01 02:01:02-0600,7000,45
2025-11-01 03:01:01-0600,7000,45
2025-11-01 04:01:01-0600,7000,66
2025-11-01 05:01:02-0600,7000,98
2025-11-01 06:01:02-0600,7000,120
2025-11-01 07:01:01-0600,7000,153
2025-11-01 08:01:02-0600,7000,153
2025-11-01 09:01:02-0600,7000,153
2025-11-01 10:01:02-0600,7000,153
2025-11-01 11:01:02-0600,7000,153
2025-11-01 12:01:02-0600,7000,153
2025-11-01 13:01:02-0600,7000,153
2025-11-01 14:01:01-0600,7000,153
2025-11-01 15:01:02-0600,7000,153
2025-11-01 16:01:02-0600,7000,153
2025-11-01 17:01:02-0600,7000,153
2025-11-01 18:01:01-0600,7000,153
2025-11-01 19:01:01-0600,7000,153
2025-11-01 20:01:01-0600,7000,153
2025-11-01 21:01:02-0600,7000,158
2025-11-01 22:01:02-0600,7000,158
2025-11-01 23:01:02-0600,7000,158
2025-11-02 00:01:02-0600,7000,158
2025-11-02 00:02:02-0600,7000,158
2025-11-02 02:01:02-0600,7000,158
2025-11-02 03:01:02-0600,7000,158
2025-11-02 04:01:03-0600,7000,266
2025-11-02 05:01:02-0600,7000,271
2025-11-02 06:01:01-0600,7000,271
2025-11-02 07:01:02-0600,7000,271
2025-11-02 08:01:01-0600,7000,271
2025-11-02 09:01:02-0600,7000,276
2025-11-02 10:01:02-0600,7000,276
2025-11-02 10:47:09-0600,7000,276
2025-11-02 11:01:01-0600,7000,276
2025-11-02 11:01:29-0600,7000,276
2025-11-02 12:01:01-0600,7000,276
2025-11-02 13:01:01-0600,7000,276
2025-11-02 14:01:01-0600,7000,276
2025-11-02 15:01:01-0600,7000,276
2025-11-02 16:01:02-0600,7000,276
2025-11-02 17:01:02-0600,7000,276
2025-11-02 18:01:02-0600,7000,376
2025-11-02 19:01:01-0600,7000,376
2025-11-02 20:01:01-0600,7000,376
2025-11-02 21:01:01-0600,7000,376
2025-11-02 22:01:02-0600,7000,376
2025-11-02 23:01:01-0600,7000,376
2025-11-03 00:01:02-0600,7000,376
2025-11-03 01:01:01-0600,7000,376
2025-11-03 02:01:02-0600,7000,376
2025-11-03 03:01:02-0600,7000,381
2025-11-03 04:01:01-0600,7000,669
2025-11-03 05:01:02-0600,7000,669
2025-11-03 06:01:02-0600,7000,669
2025-11-03 07:01:01-0600,7000,669
2025-11-03 08:01:02-0600,7000,669
2025-11-03 09:01:01-0600,7000,669
2025-11-03 10:01:01-0600,7000,669
2025-11-03 11:01:02-0600,7000,669
2025-11-03 12:01:02-0600,7000,669
2025-11-03 13:01:01-0600,7000,674
2025-11-03 14:01:02-0600,7000,674
2025-11-03 15:01:02-0600,7000,674
2025-11-03 16:01:01-0600,7000,674
2025-11-03 17:01:02-0600,7000,674
2025-11-03 18:01:01-0600,7000,684
2025-11-03 19:01:02-0600,7000,684
2025-11-03 20:01:02-0600,7000,684
2025-11-03 21:01:02-0600,7000,684
2025-11-03 22:01:02-0600,7000,684
2025-11-03 23:01:01-0600,7000,684
2025-11-04 00:01:02-0600,7000,684
2025-11-04 01:01:01-0600,7000,684
2025-11-04 02:01:02-0600,7000,684
2025-11-04 03:01:02-0600,7000,691
2025-11-04 04:01:01-0600,7000,936
2025-11-04 05:01:02-0600,7000,936
2025-11-04 06:01:02-0600,7000,936
2025-11-04 07:01:01-0600,7000,936
2025-11-04 08:01:02-0600,7000,936
2025-11-04 09:01:02-0600,7000,936
2025-11-04 10:01:02-0600,7000,936
2025-11-04 11:01:01-0600,7000,936
2025-11-04 12:01:02-0600,7000,936
2025-11-04 13:01:01-0600,7000,936
2025-11-04 14:01:01-0600,7000,936
2025-11-04 15:01:02-0600,7000,936
2025-11-04 16:01:01-0600,7000,936
2025-11-04 17:01:01-0600,7000,936
2025-11-04 18:01:01-0600,7000,936
2025-11-04 19:01:02-0600,7000,936
2025-11-04 20:01:02-0600,7000,936
2025-11-04 21:01:01-0600,7000,936
2025-11-04 22:01:01-0600,7000,936
2025-11-04 23:01:02-0600,7000,936
2025-11-05 00:01:01-0600,7000,936
2025-11-05 01:01:02-0600,7000,936
2025-11-05 02:01:01-0600,7000,936
2025-11-05 03:01:01-0600,7000,936
2025-11-05 04:01:02-0600,7000,1189
2025-11-05 05:01:02-0600,7000,1194
2025-11-05 06:01:01-0600,7000,1194
2025-11-05 07:01:02-0600,7000,1194
2025-11-05 08:01:01-0600,7000,1194
2025-11-05 09:01:02-0600,7000,1194
2025-11-05 10:01:02-0600,7000,1194
2025-11-05 11:01:01-0600,7000,1194
2025-11-05 12:01:02-0600,7000,1199
2025-11-05 13:01:01-0600,7000,1199
2025-11-05 14:01:02-0600,7000,1199
2025-11-05 15:01:01-0600,7000,1199
2025-11-05 16:01:02-0600,7000,1199
2025-11-05 17:01:01-0600,7000,1204
2025-11-05 18:01:02-0600,7000,1204
2025-11-05 19:01:01-0600,7000,1204
2025-11-05 20:01:02-0600,7000,1204
2025-11-05 21:01:01-0600,7000,1204
2025-11-05 22:01:02-0600,7000,1209
2025-11-05 23:01:02-0600,7000,1209
2025-11-06 00:01:02-0600,7000,1209
2025-11-06 01:01:02-0600,7000,1209
2025-11-06 02:01:01-0600,7000,1209
2025-11-06 03:01:02-0600,7000,1209
2025-11-06 04:01:02-0600,7000,1259
2025-11-06 05:01:01-0600,7000,1295
2025-11-06 06:01:01-0600,7000,1295
2025-11-06 07:01:02-0600,7000,1295
2025-11-06 08:01:01-0600,7000,1295
2025-11-06 09:01:01-0600,7000,1295
2025-11-06 10:01:02-0600,7000,1295
2025-11-06 11:01:02-0600,7000,1295
2025-11-06 12:01:02-0600,7000,1295
2025-11-06 13:01:01-0600,7000,1295
2025-11-06 14:01:02-0600,7000,1300
2025-11-06 15:01:01-0600,7000,1300
2025-11-06 16:01:02-0600,7000,1300
2025-11-06 17:01:01-0600,7000,1300
2025-11-06 18:01:02-0600,7000,1305
2025-11-06 19:01:01-0600,7000,1305
2025-11-06 20:01:02-0600,7000,1310
2025-11-06 21:01:01-0600,7000,1310
2025-11-06 22:01:02-0600,7000,1310
2025-11-07 00:01:01-0600,7000,1320
2025-11-07 01:01:02-0600,7000,1320
2025-11-07 02:01:01-0600,7000,1320
2025-11-07 03:01:02-0600,7000,1357
2025-11-07 04:01:01-0600,7000,1424
2025-11-07 05:01:02-0600,7000,1424
2025-11-07 06:01:01-0600,7000,1429
2025-11-07 07:01:02-0600,7000,1429
2025-11-07 08:01:01-0600,7000,1429
2025-11-07 09:01:02-0600,7000,1434
2025-11-07 10:01:01-0600,7000,1434
2025-11-07 11:01:02-0600,7000,1434
2025-11-07 12:01:02-0600,7000,1434
2025-11-07 13:01:02-0600,7000,1439
2025-11-07 14:01:01-0600,7000,1439
2025-11-07 15:01:02-0600,7000,1439
2025-11-07 16:01:01-0600,7000,1444
2025-11-07 17:01:01-0600,7000,1444
2025-11-07 18:01:02-0600,7000,1444
2025-11-07 19:01:01-0600,7000,1444
2025-11-07 20:01:01-0600,7000,1444
2025-11-07 21:01:01-0600,7000,1444
2025-11-07 22:01:01-0600,7000,1444
2025-11-07 23:01:02-0600,7000,1449
2025-11-08 00:01:01-0600,7000,1449
2025-11-08 01:01:02-0600,7000,1449
2025-11-08 02:01:02-0600,7000,1449
2025-11-08 03:01:01-0600,7000,1451
2025-11-08 04:01:02-0600,7000,1457
2025-11-08 05:01:02-0600,7000,1457
2025-11-08 06:01:01-0600,7000,1457
2025-11-08 07:01:02-0600,7000,1457
2025-11-08 08:01:02-0600,7000,1457
2025-11-08 09:01:01-0600,7000,1457
2025-11-08 10:01:01-0600,7000,1457
2025-11-08 11:01:02-0600,7000,1457
2025-11-08 12:01:02-0600,7000,1457
2025-11-08 13:01:01-0600,7000,1462
2025-11-08 14:01:01-0600,7000,1462
2025-11-08 15:01:02-0600,7000,1462
2025-11-08 16:01:01-0600,7000,1462
2025-11-08 17:01:02-0600,7000,1467
2025-11-08 18:01:02-0600,7000,1467
2025-11-08 19:01:01-0600,7000,1467
2025-11-08 20:01:02-0600,7000,1467
2025-11-08 21:01:01-0600,7000,1467
2025-11-08 22:01:02-0600,7000,1477
2025-11-08 23:01:02-0600,7000,1482
2025-11-09 00:01:01-0600,7000,1482
2025-11-09 01:01:01-0600,7000,1487
2025-11-09 02:01:02-0600,7000,1487
2025-11-09 03:01:01-0600,7000,1487
2025-11-09 04:01:02-0600,7000,1703
2025-11-09 05:01:02-0600,7000,1728
2025-11-09 06:01:01-0600,7000,1728
2025-11-09 07:01:02-0600,7000,1728
2025-11-09 08:01:01-0600,7000,1728
2025-11-09 09:01:01-0600,7000,1728
2025-11-09 10:01:02-0600,7000,1728
2025-11-09 11:01:02-0600,7000,1728
2025-11-09 12:01:02-0600,7000,1728
2025-11-09 13:01:02-0600,7000,1728
2025-11-09 14:01:03-0600,7000,1728
2025-11-09 15:01:01-0600,7000,1827
2025-11-09 16:01:02-0600,7000,1827
2025-11-09 17:01:02-0600,7000,1827
2025-11-09 18:01:01-0600,7000,1827
2025-11-09 19:01:01-0600,7000,1827
2025-11-09 20:01:02-0600,7000,1827
2025-11-09 21:01:01-0600,7000,1827
2025-11-09 22:01:02-0600,7000,1827
2025-11-09 23:01:02-0600,7000,2027
2025-11-10 00:01:02-0600,7000,2027
2025-11-10 01:01:01-0600,7000,2032
2025-11-10 02:01:02-0600,7000,2032
2025-11-10 03:01:01-0600,7000,2034
2025-11-10 04:01:02-0600,7000,2214
2025-11-10 05:01:02-0600,7000,2214
2025-11-10 06:01:01-0600,7000,2214
2025-11-10 07:01:01-0600,7000,2214
2025-11-10 08:01:02-0600,7000,2224
2025-11-10 09:01:01-0600,7000,2224
2025-11-10 10:01:02-0600,7000,2229
2025-11-10 11:01:01-0600,7000,2229
2025-11-10 12:01:02-0600,7000,2229
2025-11-10 13:01:02-0600,7000,2229
2025-11-10 14:01:01-0600,7000,2229
2025-11-10 15:01:02-0600,7000,2229
2025-11-10 16:01:01-0600,7000,2229
2025-11-10 17:01:02-0600,7000,2229
2025-11-10 18:01:01-0600,7000,2229
2025-11-10 19:01:01-0600,7000,2229
2025-11-10 20:01:02-0600,7000,2229
2025-11-10 21:01:02-0600,7000,2229
2025-11-10 22:01:01-0600,7000,2229
2025-11-10 23:01:01-0600,7000,2229
2025-11-11 00:01:02-0600,7000,2229
2025-11-11 01:01:02-0600,7000,2229
2025-11-11 02:01:02-0600,7000,2229
2025-11-11 03:01:02-0600,7000,2236
2025-11-11 04:01:02-0600,7000,2301
2025-11-11 05:01:02-0600,7000,2301
2025-11-11 06:01:01-0600,7000,2301
2025-11-11 07:01:02-0600,7000,2301
2025-11-11 08:01:03-0600,7000,2301
2025-11-11 09:01:02-0600,7000,2301
2025-11-11 10:01:02-0600,7000,2306
2025-11-11 11:01:04-0600,7000,2306
2025-11-11 12:01:04-0600,7000,2306
2025-11-11 13:01:02-0600,7000,2306
2025-11-11 14:01:01-0600,7000,2306
2025-11-11 15:01:05-0600,7000,2306
2025-11-11 16:01:01-0600,7000,2311
2025-11-11 17:01:02-0600,7000,2311
2025-11-11 18:01:01-0600,7000,2316
2025-11-11 19:01:02-0600,7000,2316
2025-11-11 20:01:01-0600,7000,2316
2025-11-11 21:01:02-0600,7000,2316
2025-11-11 22:01:02-0600,7000,2316
2025-11-11 23:01:02-0600,7000,2316
2025-11-12 00:01:02-0600,7000,2316
2025-11-12 01:01:02-0600,7000,2316
2025-11-12 02:01:01-0600,7000,2316
2025-11-12 03:01:01-0600,7000,2351
2025-11-12 04:01:02-0600,7000,2367
2025-11-12 05:01:02-0600,7000,2367
2025-11-12 06:01:01-0600,7000,2367
2025-11-12 07:01:02-0600,7000,2367
2025-11-12 08:01:01-0600,7000,2367
2025-11-12 09:01:02-0600,7000,2367
2025-11-12 10:01:02-0600,7000,2367
2025-11-12 11:01:02-0600,7000,2367
2025-11-12 12:01:02-0600,7000,2367
2025-11-12 13:01:02-0600,7000,2367
2025-11-12 14:01:02-0600,7000,2437
2025-11-12 15:01:04-0600,7000,2437
2025-11-12 16:01:06-0600,7000,2437
2025-11-12 17:01:01-0600,7000,2437
2025-11-12 19:01:01-0600,7000,2437
2025-11-12 20:01:02-0600,7000,2437
2025-11-12 21:01:02-0600,7000,2437
2025-11-12 22:01:01-0600,7000,2437
2025-11-12 23:01:01-0600,7000,2437
2025-11-13 00:01:02-0600,7000,2437
