Date,Goal,Funds
2023-06-01 00:01:00-05:00,4943,49.0
2023-06-01 21:01:00-05:00,4943,148.0
2023-06-02 21:01:00-05:00,4943,247.0
2023-06-03 21:01:00-05:00,4943,297.0
2023-06-04 21:01:00-05:00,4943,346.0
2023-06-05 21:01:00-05:00,4943,346.0
2023-06-06 21:01:00-05:00,4943,544.0
2023-06-07 21:01:00-05:00,4943,692.0
2023-06-08 21:01:00-05:00,4943,939.0
2023-06-09 21:01:00-05:00,4943,1186.0
2023-06-10 21:01:00-05:00,4943,1532.0
2023-06-11 21:01:00-05:00,4943,1779.0
2023-06-12 21:01:00-05:00,4943,1977.0
2023-06-13 21:01:00-05:00,4943,2274.0
2023-06-14 21:01:00-05:00,4943,2521.0
2023-06-15 21:01:00-05:00,4943,2620.0
2023-06-16 21:01:00-05:00,4943,2818.0
2023-06-17 21:01:00-05:00,4943,2916.0
2023-06-18 21:01:00-05:00,4943,3164.0
2023-06-19 21:01:00-05:00,4943,3361.0
2023-06-20 21:01:00-05:00,4943,3510.0
2023-06-21 21:01:00-05:00,4943,3559.0
2023-06-22 21:01:00-05:00,4943,3608.0
2023-06-23 21:01:00-05:00,4943,3757.0
2023-06-24 21:01:00-05:00,4943,3905.0
2023-06-25 21:01:00-05:00,4943,4053.0
2023-06-26 21:01:00-05:00,4943,4202.0
2023-06-27 21:01:00-05:00,4943,4300.0
2023-06-28 21:01:00-05:00,4943,4449.0
2023-06-29 21:01:00-05:00,4943,4992.0
2023-06-30 21:01:00-05:00,4943,5190.0
