Date,Goal,Funds
2025-06-01 13:46:00-05:00,7000,0
2025-06-01 14:01:00-05:00,7000,0
2025-06-01 15:01:00-05:00,7000,0
2025-06-01 16:01:00-05:00,7000,0
2025-06-01 17:01:00-05:00,7000,0
2025-06-01 18:01:00-05:00,7000,0
2025-06-01 19:01:00-05:00,7000,0
2025-06-01 20:01:00-05:00,7000,149
2025-06-01 21:01:00-05:00,7000,149
2025-06-01 22:01:00-05:00,7000,149
2025-06-02 00:01:00-05:00,7000,159
2025-06-02 01:01:00-05:00,7000,159
2025-06-02 02:01:00-05:00,7000,164
2025-06-02 03:01:00-05:00,7000,164
2025-06-02 04:01:00-05:00,7000,164
2025-06-02 05:01:00-05:00,7000,213
2025-06-02 06:01:00-05:00,7000,293
2025-06-02 07:01:00-05:00,7000,293
2025-06-02 08:01:00-05:00,7000,293
2025-06-02 09:01:00-05:00,7000,293
2025-06-02 10:01:00-05:00,7000,298
2025-06-02 11:01:00-05:00,7000,298
2025-06-02 12:01:00-05:00,7000,298
2025-06-02 13:01:00-05:00,7000,298
2025-06-02 14:01:00-05:00,7000,298
2025-06-02 15:01:00-05:00,7000,298
2025-06-02 16:01:00-05:00,7000,298
2025-06-02 17:01:00-05:00,7000,298
2025-06-02 18:01:00-05:00,7000,298
2025-06-02 19:01:00-05:00,7000,298
2025-06-02 20:01:00-05:00,7000,298
2025-06-02 21:01:00-05:00,7000,298
2025-06-02 22:01:00-05:00,7000,298
2025-06-02 23:01:00-05:00,7000,298
2025-06-03 00:01:00-05:00,7000,298
2025-06-03 01:01:00-05:00,7000,298
2025-06-03 02:01:00-05:00,7000,298
2025-06-03 03:01:00-05:00,7000,298
2025-06-03 04:01:00-05:00,7000,298
2025-06-03 05:01:00-05:00,7000,360
2025-06-03 06:01:00-05:00,7000,360
2025-06-03 07:01:00-05:00,7000,360
2025-06-03 08:01:00-05:00,7000,360
2025-06-03 09:01:00-05:00,7000,360
2025-06-03 10:01:00-05:00,7000,360
2025-06-03 11:01:00-05:00,7000,360
2025-06-03 12:01:00-05:00,7000,360
2025-06-03 13:01:00-05:00,7000,360
2025-06-03 14:01:00-05:00,7000,360
2025-06-03 15:01:00-05:00,7000,360
2025-06-03 16:01:00-05:00,7000,360
2025-06-03 17:01:00-05:00,7000,360
2025-06-03 18:01:00-05:00,7000,360
2025-06-03 19:01:00-05:00,7000,360
2025-06-03 20:01:00-05:00,7000,360
2025-06-03 21:01:00-05:00,7000,360
2025-06-03 22:01:00-05:00,7000,360
2025-06-03 23:01:00-05:00,7000,360
2025-06-04 00:01:00-05:00,7000,360
2025-06-04 01:01:00-05:00,7000,360
2025-06-04 02:01:00-05:00,7000,360
2025-06-04 03:01:00-05:00,7000,360
2025-06-04 04:01:00-05:00,7000,360
2025-06-04 05:01:00-05:00,7000,438
2025-06-04 06:01:00-05:00,7000,438
2025-06-04 07:01:00-05:00,7000,438
2025-06-04 08:01:00-05:00,7000,438
2025-06-04 09:01:00-05:00,7000,438
2025-06-04 10:01:00-05:00,7000,438
2025-06-04 11:01:00-05:00,7000,438
2025-06-04 12:01:00-05:00,7000,438
2025-06-04 13:01:00-05:00,7000,438
2025-06-04 14:01:00-05:00,7000,438
2025-06-04 15:01:00-05:00,7000,438
2025-06-04 16:01:00-05:00,7000,448
2025-06-04 17:01:00-05:00,7000,453
2025-06-04 18:01:00-05:00,7000,453
2025-06-04 19:01:00-05:00,7000,458
2025-06-04 20:01:00-05:00,7000,458
2025-06-04 21:01:00-05:00,7000,458
2025-06-04 22:01:00-05:00,7000,458
2025-06-04 23:01:00-05:00,7000,458
2025-06-05 00:01:00-05:00,7000,458
2025-06-05 01:01:00-05:00,7000,458
2025-06-05 02:01:00-05:00,7000,458
2025-06-05 03:01:00-05:00,7000,458
2025-06-05 04:01:00-05:00,7000,458
2025-06-05 05:01:00-05:00,7000,468
2025-06-05 06:01:00-05:00,7000,551
2025-06-05 07:01:00-05:00,7000,551
2025-06-05 08:01:00-05:00,7000,551
2025-06-05 09:01:00-05:00,7000,551
2025-06-05 10:01:00-05:00,7000,551
2025-06-05 11:01:00-05:00,7000,551
2025-06-05 12:01:00-05:00,7000,551
2025-06-05 13:01:00-05:00,7000,561
2025-06-05 14:01:00-05:00,7000,561
2025-06-05 15:01:00-05:00,7000,561
2025-06-05 16:01:00-05:00,7000,596
2025-06-05 17:01:00-05:00,7000,596
2025-06-05 18:01:00-05:00,7000,601
2025-06-05 19:01:00-05:00,7000,601
2025-06-05 20:01:00-05:00,7000,601
2025-06-05 21:01:00-05:00,7000,606
2025-06-05 22:01:00-05:00,7000,606
2025-06-05 23:01:00-05:00,7000,611
2025-06-06 00:01:00-05:00,7000,611
2025-06-06 01:01:00-05:00,7000,611
2025-06-06 02:01:00-05:00,7000,611
2025-06-06 03:01:00-05:00,7000,611
2025-06-06 04:01:00-05:00,7000,611
2025-06-06 05:01:00-05:00,7000,611
2025-06-06 06:01:00-05:00,7000,692
2025-06-06 07:01:00-05:00,7000,825
2025-06-06 08:01:00-05:00,7000,825
2025-06-06 09:01:00-05:00,7000,856
2025-06-06 10:01:00-05:00,7000,856
2025-06-06 11:01:00-05:00,7000,856
2025-06-06 12:01:00-05:00,7000,856
2025-06-06 13:01:00-05:00,7000,861
2025-06-06 14:01:00-05:00,7000,861
2025-06-06 15:01:00-05:00,7000,861
2025-06-06 16:01:00-05:00,7000,866
2025-06-06 17:01:00-05:00,7000,866
2025-06-06 18:01:00-05:00,7000,866
2025-06-06 19:01:00-05:00,7000,866
2025-06-06 20:01:00-05:00,7000,866
2025-06-06 21:01:00-05:00,7000,871
2025-06-06 22:01:00-05:00,7000,871
2025-06-06 23:01:00-05:00,7000,871
2025-06-07 00:01:00-05:00,7000,871
2025-06-07 01:01:00-05:00,7000,871
2025-06-07 02:01:00-05:00,7000,871
2025-06-07 03:01:00-05:00,7000,871
2025-06-07 04:01:00-05:00,7000,871
2025-06-07 05:01:00-05:00,7000,918
2025-06-07 06:01:00-05:00,7000,918
2025-06-07 07:01:00-05:00,7000,918
2025-06-07 08:01:00-05:00,7000,918
2025-06-07 09:01:00-05:00,7000,918
2025-06-07 10:01:00-05:00,7000,918
2025-06-07 11:01:00-05:00,7000,918
2025-06-07 12:01:00-05:00,7000,918
2025-06-07 13:01:00-05:00,7000,918
