Date,Goal,Funds
2024-10-01 00:01:00-05:00,7000,210.0
2024-10-01 21:01:00-05:00,7000,280.0
2024-10-02 21:01:00-05:00,7000,560.0
2024-10-03 21:01:00-05:00,7000,770.0
2024-10-04 21:01:00-05:00,7000,910.0
2024-10-05 21:01:00-05:00,7000,1050.0
2024-10-06 21:01:00-05:00,7000,1120.0
2024-10-07 21:01:00-05:00,7000,1260.0
2024-10-08 21:01:00-05:00,7000,1330.0
2024-10-09 21:01:00-05:00,7000,1400.0
2024-10-10 21:01:00-05:00,7000,1610.0
2024-10-11 21:01:00-05:00,7000,1960.0
2024-10-12 21:01:00-05:00,7000,2030.0
2024-10-13 21:01:00-05:00,7000,2170.0
2024-10-14 21:01:00-05:00,7000,2310.0
2024-10-15 21:01:00-05:00,7000,2380.0
2024-10-16 21:01:00-05:00,7000,2730.0
2024-10-17 21:01:00-05:00,7000,2940.0
2024-10-18 21:01:00-05:00,7000,3360.0
2024-10-19 21:01:00-05:00,7000,3500.0
2024-10-20 21:01:00-05:00,7000,3780.0
2024-10-21 21:01:00-05:00,7000,3990.0
2024-10-22 21:01:00-05:00,7000,4060.0
2024-10-23 21:01:00-05:00,7000,4200.0
2024-10-24 21:01:00-05:00,7000,4760.0
2024-10-25 21:01:00-05:00,7000,5320.0
2024-10-26 21:01:00-05:00,7000,5810.0
2024-10-27 21:01:00-05:00,7000,5880.0
2024-10-28 21:01:00-05:00,7000,6020.0
2024-10-29 21:01:00-05:00,7000,6160.0
2024-10-30 21:01:00-05:00,7000,7000.0
2024-10-31 21:01:00-05:00,7000,7226.0
